tweet ID,Popular,1 Word Gram,2 Word Gram,3 Word Gram,4 Word Gram,5 Word Gram,2 Char Gram,3 Char Gram,4 Char Gram,5 Char Gram,Emojis,Hashtags
1213249613735460865,0,1,0,0,0,0,1,1,1,1,0,0
1213330173736738817,0,1,1,0,0,0,1,1,1,1,0,0
1213872115570630656,0,1,0,0,0,0,1,1,1,1,0,0
1214198629553950721,0,1,1,0,0,0,1,1,1,1,0,0
1214917256414662656,0,1,0,0,0,0,1,1,1,1,0,0
1214919387146313728,0,1,0,0,0,0,1,1,1,1,0,1
1214978895914684418,0,1,1,0,0,0,1,1,1,1,0,0
1215002673424084993,0,1,1,0,0,0,1,1,1,1,0,1
1215028015438192640,0,1,1,0,0,0,1,1,1,1,0,1
1215074056313028608,0,1,1,0,0,0,1,1,1,1,0,1
1215080435836956672,0,1,0,0,0,0,1,1,1,1,0,1
1215082180654915585,0,1,1,0,0,0,1,1,1,1,0,0
1215082474277146625,0,1,1,0,0,0,1,1,1,1,0,0
1215095787002028033,0,1,1,0,0,0,1,1,1,1,0,0
1215102661453844481,0,1,1,0,0,0,1,1,1,1,0,0
1215104980908236800,0,1,0,0,0,0,1,1,1,1,0,0
1215112006363009024,0,1,1,0,0,0,1,1,1,1,0,0
1215166339352080384,0,1,0,0,0,0,1,1,1,1,0,0
1215178033105195008,0,1,1,0,0,0,1,1,1,1,0,1
1215190674720677888,0,1,1,0,0,0,1,1,1,1,0,1
1215196374787952640,0,1,1,0,0,0,1,1,1,1,0,0
1215196425128009728,0,1,1,0,0,0,1,1,1,1,0,0
1215211709142577152,0,1,0,0,0,0,1,1,1,1,0,1
1215221343479726081,0,1,0,0,0,0,1,1,1,1,0,0
1215239383177142272,0,1,1,0,0,0,1,1,1,1,0,0
1215241073473327104,0,1,0,0,0,0,1,1,1,1,0,0
1215252410681241600,0,1,1,0,0,0,1,1,1,1,0,0
1215265568225472512,0,1,0,0,0,0,1,1,1,1,0,0
1215266465785376768,1,1,1,1,1,1,1,1,1,1,0,0
1215276414683045893,0,1,0,0,0,0,1,1,1,1,0,1
1215279149377560576,0,1,1,0,0,0,1,1,1,1,0,0
1215279333931200512,0,1,0,0,0,0,1,1,1,1,0,0
1215287789639438337,0,1,1,0,0,0,1,1,1,1,0,1
1215289886783213569,0,1,1,0,0,0,1,1,1,1,0,0
1215298011166728198,1,1,1,1,1,1,1,1,1,1,0,0
1215302452943183872,0,1,1,0,0,0,1,1,1,1,0,0
1215309386106597376,1,1,1,1,1,1,1,1,1,1,0,0
1215310229178466305,1,1,1,1,1,1,1,1,1,1,0,0
1215320555534065664,0,1,1,0,0,0,1,1,1,1,0,1
1215332270246002688,1,1,1,1,1,1,1,1,1,1,0,0
1215348170840072192,0,1,1,0,0,0,1,1,1,1,0,1
1215366806120140809,0,1,0,0,0,0,1,1,1,1,0,0
1215371830917304328,0,1,1,0,0,0,1,1,1,1,0,1
1215381385533411333,0,1,1,0,0,0,1,1,1,1,0,0
1215387660203675648,0,1,1,0,0,0,1,1,1,1,0,0
1215402646447804416,0,1,0,0,0,0,1,1,1,1,0,0
1215439325640327168,1,1,1,1,1,1,1,1,1,1,0,0
1215443557684658177,1,1,1,1,1,1,1,1,1,1,0,0
1215445830993424384,0,1,1,0,0,0,1,1,1,1,0,1
1215447085094338562,1,1,1,1,1,1,1,1,1,1,0,0
1215458397136441344,0,1,0,0,0,0,1,1,1,1,0,0
1215460406212251648,1,1,1,1,1,1,1,1,1,1,0,0
1215463019284590592,1,1,1,1,1,1,1,1,1,1,0,0
1215463044442181634,0,1,1,0,0,0,1,1,1,1,0,0
1215466643150626816,1,1,1,1,1,1,1,1,1,1,0,0
1215474868164055040,1,1,1,1,1,1,1,1,1,1,0,0
1215477523187822593,1,1,1,1,1,1,1,1,1,1,0,0
1215478563371008000,1,1,1,1,1,1,1,1,1,1,0,0
1215480593388949505,1,1,1,1,1,1,1,1,1,1,0,0
1215481801361125377,1,1,1,1,1,1,1,1,1,1,0,0
1215484762548097024,1,1,1,1,1,1,1,1,1,1,0,0
1215484984825270272,1,1,1,1,1,1,1,1,1,1,0,0
1215485668530348032,1,1,1,1,1,1,1,1,1,1,0,0
1215496825378983937,1,1,1,1,1,1,1,1,1,1,0,0
1215499417442086912,1,1,1,1,1,1,1,1,1,1,0,0
1215500457612697605,1,1,1,1,1,1,1,1,1,1,0,0
1215503422985768961,0,1,1,0,0,0,1,1,1,1,0,0
1215506765854339072,1,1,1,1,1,1,1,1,1,1,0,0
1215507013335019520,1,1,1,1,1,1,1,1,1,1,0,0
1215507285935443968,1,1,1,1,1,1,1,1,1,1,0,0
1215508670068346881,1,1,1,1,1,1,1,1,1,1,0,0
1215512725956116480,1,1,1,1,1,1,1,1,1,1,0,0
1215517109016379392,1,1,1,1,1,1,1,1,1,1,0,0
1215520074406084608,1,1,1,1,1,1,1,1,1,1,0,0
1215522922321727488,0,1,1,0,0,0,1,1,1,1,0,0
1215526441346977792,1,1,1,1,1,1,1,1,1,1,0,0
1215528588843175936,1,1,1,1,1,1,1,1,1,1,0,0
1215529511552315392,1,1,1,1,1,1,1,1,1,1,0,0
1215529956152725508,1,1,1,1,1,1,1,1,1,1,0,0
1215530010674487298,1,1,1,1,1,1,1,1,1,1,0,0
